plot	time	faba	weed	cereal	all
10	67	0	0.0107461459422662	0.787353854057734	0.7981
10	74	0	0.0232665149704248	0.790233485029575	0.8135
10	81	0	0.01022439404137	0.85077560595863	0.861
10	90	0	0.00303060672732696	0.806069393272673	0.8091
11	34	0.00449127800555932	0.0011347017879899	0.0846740202064508	0.0903
11	43	0.0188068968050844	0.0075812199213823	0.244011883273533	0.2704
11	48	0.0253943579701126	0.0161905682619445	0.238915073767943	0.2805
11	54	0.0280635575900066	0.0353443282591239	0.40169211415087	0.4651
11	60	0.0342886327786786	0.016333153748428	0.464378213472893	0.515
11	67	0.0551585638680602	0.023053780868139	0.621387655263801	0.6996
11	74	0.0869341934887162	0.0367776544580096	0.677088152053274	0.8008
11	81	0.0955021814288942	0.0244021019900944	0.728595716581011	0.8485
11	90	0.15538095878822	0.0320546742216848	0.579964366990095	0.7674
